Country,Motor energy,Year,New cars
Albania,Diesel,2022,36189
Albania,Diesel,2021,42736
Albania,Diesel,2020,32906
Albania,Diesel,2019,33041
Albania,Diesel,2018,0
Albania,Diesel,2017,0
Albania,Diesel,2016,0
Albania,Diesel,2015,0
Albania,Diesel,2014,0
Albania,Diesel,2013,0
Albania,Electricity,2022,624
Albania,Electricity,2021,262
Albania,Electricity,2020,239
Albania,Electricity,2019,24
Albania,Electricity,2018,0
Albania,Electricity,2017,0
Albania,Electricity,2016,0
Albania,Electricity,2015,0
Albania,Electricity,2014,0
Albania,Electricity,2013,0
Albania,Hybrid,2022,862
Albania,Hybrid,2021,601
Albania,Hybrid,2020,240
Albania,Hybrid,2019,157
Albania,Hybrid,2018,0
Albania,Hybrid,2017,0
Albania,Hybrid,2016,0
Albania,Hybrid,2015,0
Albania,Hybrid,2014,0
Albania,Hybrid,2013,0
Albania,LPG,2022,58
Albania,LPG,2021,130
Albania,LPG,2020,133
Albania,LPG,2019,49
Albania,LPG,2018,0
Albania,LPG,2017,0
Albania,LPG,2016,0
Albania,LPG,2015,0
Albania,LPG,2014,0
Albania,LPG,2013,0
Albania,Other,2022,3432
Albania,Other,2021,5311
Albania,Other,2020,4563
Albania,Other,2019,3684
Albania,Other,2018,0
Albania,Other,2017,0
Albania,Other,2016,0
Albania,Other,2015,0
Albania,Other,2014,0
Albania,Other,2013,0
Albania,Petrol,2022,8294
Albania,Petrol,2021,9168
Albania,Petrol,2020,5580
Albania,Petrol,2019,5726
Albania,Petrol,2018,0
Albania,Petrol,2017,0
Albania,Petrol,2016,0
Albania,Petrol,2015,0
Albania,Petrol,2014,0
Albania,Petrol,2013,0
Austria,Diesel,2022,48115
Austria,Diesel,2021,58263
Austria,Diesel,2020,90909
Austria,Diesel,2019,126311
Austria,Diesel,2018,140111
Austria,Diesel,2017,175458
Austria,Diesel,2016,188820
Austria,Diesel,2015,179822
Austria,Diesel,2014,172381
Austria,Diesel,2013,180901
Austria,Electricity,2022,34165
Austria,Electricity,2021,33366
Austria,Electricity,2020,15972
Austria,Electricity,2019,9242
Austria,Electricity,2018,6757
Austria,Electricity,2017,5433
Austria,Electricity,2016,3826
Austria,Electricity,2015,1677
Austria,Electricity,2014,1281
Austria,Electricity,2013,654
Austria,Hybrid,2022,40858
Austria,Hybrid,2021,41970
Austria,Hybrid,2020,26026
Austria,Hybrid,2019,14349
Austria,Hybrid,2018,7143
Austria,Hybrid,2017,6572
Austria,Hybrid,2016,3474
Austria,Hybrid,2015,2411
Austria,Hybrid,2014,1926
Austria,Hybrid,2013,2389
Austria,LPG,2022,0
Austria,LPG,2021,0
Austria,LPG,2020,0
Austria,LPG,2019,0
Austria,LPG,2018,0
Austria,LPG,2017,0
Austria,LPG,2016,0
Austria,LPG,2015,0
Austria,LPG,2014,0
Austria,LPG,2013,0
Austria,Other,2022,13345
Austria,Other,2021,14726
Austria,Other,2020,8062
Austria,Other,2019,2755
Austria,Other,2018,2907
Austria,Other,2017,2156
Austria,Other,2016,1728
Austria,Other,2015,1813
Austria,Other,2014,1227
Austria,Other,2013,815
Austria,Petrol,2022,78567
Austria,Petrol,2021,91478
Austria,Petrol,2020,107771
Austria,Petrol,2019,176706
Austria,Petrol,2018,184150
Austria,Petrol,2017,163701
Austria,Petrol,2016,131756
Austria,Petrol,2015,122832
Austria,Petrol,2014,126503
Austria,Petrol,2013,134276
Belgium,Diesel,2022,54759
Belgium,Diesel,2021,82566
Belgium,Diesel,2020,137015
Belgium,Diesel,2019,173704
Belgium,Diesel,2018,201023
Belgium,Diesel,2017,258956
Belgium,Diesel,2016,284352
Belgium,Diesel,2015,303345
Belgium,Diesel,2014,303212
Belgium,Diesel,2013,318951
Belgium,Electricity,2022,37760
Belgium,Electricity,2021,22774
Belgium,Electricity,2020,15044
Belgium,Electricity,2019,8892
Belgium,Electricity,2018,3763
Belgium,Electricity,2017,2717
Belgium,Electricity,2016,2061
Belgium,Electricity,2015,1360
Belgium,Electricity,2014,1167
Belgium,Electricity,2013,501
Belgium,Hybrid,2022,133184
Belgium,Hybrid,2021,115317
Belgium,Hybrid,2020,71457
Belgium,Hybrid,2019,35010
Belgium,Hybrid,2018,24759
Belgium,Hybrid,2017,24292
Belgium,Hybrid,2016,16993
Belgium,Hybrid,2015,10845
Belgium,Hybrid,2014,8326
Belgium,Hybrid,2013,5832
Belgium,LPG,2022,0
Belgium,LPG,2021,0
Belgium,LPG,2020,0
Belgium,LPG,2019,0
Belgium,LPG,2018,1
Belgium,LPG,2017,2
Belgium,LPG,2016,4
Belgium,LPG,2015,5
Belgium,LPG,2014,0
Belgium,LPG,2013,0
Belgium,Other,2022,2896
Belgium,Other,2021,3093
Belgium,Other,2020,3876
Belgium,Other,2019,3633
Belgium,Other,2018,3762
Belgium,Other,2017,2699
Belgium,Other,2016,2348
Belgium,Other,2015,782
Belgium,Other,2014,1067
Belgium,Other,2013,340
Belgium,Petrol,2022,145998
Belgium,Petrol,2021,169019
Belgium,Petrol,2020,211646
Belgium,Petrol,2019,336731
Belgium,Petrol,2018,323774
Belgium,Petrol,2017,265026
Belgium,Petrol,2016,240384
Belgium,Petrol,2015,189947
Belgium,Petrol,2014,173939
Belgium,Petrol,2013,164745
Bosnia and Herzegovina,Diesel,2022,2948
Bosnia and Herzegovina,Diesel,2021,3363
Bosnia and Herzegovina,Diesel,2020,3473
Bosnia and Herzegovina,Diesel,2019,4674
Bosnia and Herzegovina,Diesel,2018,2363
Bosnia and Herzegovina,Diesel,2017,5123
Bosnia and Herzegovina,Diesel,2016,4930
Bosnia and Herzegovina,Diesel,2015,3835
Bosnia and Herzegovina,Diesel,2014,4096
Bosnia and Herzegovina,Diesel,2013,4049
Bosnia and Herzegovina,Electricity,2022,33
Bosnia and Herzegovina,Electricity,2021,28
Bosnia and Herzegovina,Electricity,2020,8
Bosnia and Herzegovina,Electricity,2019,13
Bosnia and Herzegovina,Electricity,2018,2
Bosnia and Herzegovina,Electricity,2017,7
Bosnia and Herzegovina,Electricity,2016,0
Bosnia and Herzegovina,Electricity,2015,1
Bosnia and Herzegovina,Electricity,2014,0
Bosnia and Herzegovina,Electricity,2013,0
Bosnia and Herzegovina,Hybrid,2022,565
Bosnia and Herzegovina,Hybrid,2021,337
Bosnia and Herzegovina,Hybrid,2020,159
Bosnia and Herzegovina,Hybrid,2019,202
Bosnia and Herzegovina,Hybrid,2018,55
Bosnia and Herzegovina,Hybrid,2017,136
Bosnia and Herzegovina,Hybrid,2016,58
Bosnia and Herzegovina,Hybrid,2015,2
Bosnia and Herzegovina,Hybrid,2014,3
Bosnia and Herzegovina,Hybrid,2013,0
Bosnia and Herzegovina,LPG,2022,0
Bosnia and Herzegovina,LPG,2021,1
Bosnia and Herzegovina,LPG,2020,0
Bosnia and Herzegovina,LPG,2019,0
Bosnia and Herzegovina,LPG,2018,0
Bosnia and Herzegovina,LPG,2017,0
Bosnia and Herzegovina,LPG,2016,0
Bosnia and Herzegovina,LPG,2015,0
Bosnia and Herzegovina,LPG,2014,0
Bosnia and Herzegovina,LPG,2013,0
Bosnia and Herzegovina,Other,2022,267
Bosnia and Herzegovina,Other,2021,200
Bosnia and Herzegovina,Other,2020,65
Bosnia and Herzegovina,Other,2019,124
Bosnia and Herzegovina,Other,2018,39
Bosnia and Herzegovina,Other,2017,129
Bosnia and Herzegovina,Other,2016,141
Bosnia and Herzegovina,Other,2015,48
Bosnia and Herzegovina,Other,2014,46
Bosnia and Herzegovina,Other,2013,39
Bosnia and Herzegovina,Petrol,2022,4154
Bosnia and Herzegovina,Petrol,2021,3408
Bosnia and Herzegovina,Petrol,2020,2800
Bosnia and Herzegovina,Petrol,2019,3667
Bosnia and Herzegovina,Petrol,2018,1356
Bosnia and Herzegovina,Petrol,2017,2769
Bosnia and Herzegovina,Petrol,2016,2321
Bosnia and Herzegovina,Petrol,2015,1823
Bosnia and Herzegovina,Petrol,2014,1831
Bosnia and Herzegovina,Petrol,2013,1967
Bulgaria,Electricity,2022,0
Bulgaria,Electricity,2021,23
Bulgaria,Electricity,2020,0
Bulgaria,Electricity,2019,0
