Country,Population
Albania,2793592
Austria,8978929
Belgium,11617623
Bosnia and Herzegovina,3839265
Bulgaria,6838937
Croatia,3862305
Cyprus,904705
Czechia,10516707
Denmark,5873420
Estonia,1331796
Finland,5548241
France,67871925
Georgia,3688647
Germany,83237124
Hungary,9689010
Iceland,376248
Ireland,5060004
Italy,59030133
Kosovo,1773971
Latvia,1875757
Liechtenstein,39308
Lithuania,2805998
Luxembourg,645397
Malta,520971
Moldova,2597107
Montenegro,617683
Netherlands,17590672
North Macedonia,1837114
Norway,5425270
Poland,37654247
Portugal,10352042
Romania,19042455
Slovenia,2107180
Spain,47432893
Sweden,10452326
Switzerland,8738791
Turkiye,84680273
United Kingdom,67025542
