Country,Motor energy,Cars
Albania,Diesel,470930
Albania,Electricity,1245
Albania,Hybrid,2083
Albania,LPG,396
Albania,Other,57715
Albania,Petrol,107010
Austria,Diesel,2651280
Austria,Electricity,110225
Austria,Hybrid,148106
Austria,LPG,1
Austria,Other,47153
Austria,Petrol,2194125
Belgium,Diesel,2424932
Belgium,Electricity,71651
Belgium,Hybrid,375107
Belgium,LPG,22
Belgium,Other,54675
Belgium,Petrol,3021102
Bosnia and Herzegovina,Diesel,762584
Bosnia and Herzegovina,Electricity,138
Bosnia and Herzegovina,Hybrid,2048
Bosnia and Herzegovina,LPG,5
Bosnia and Herzegovina,Other,36116
Bosnia and Herzegovina,Petrol,205251
Bulgaria,Diesel,1399938
Bulgaria,Electricity,6293
Bulgaria,Hybrid,30765
Bulgaria,LPG,348366
Bulgaria,Other,45355
Bulgaria,Petrol,1066060
Croatia,Diesel,1027371
Croatia,Electricity,4801
Croatia,Hybrid,0
Croatia,LPG,55
Croatia,Other,86739
Croatia,Petrol,721802
Cyprus,Diesel,129536
Cyprus,Electricity,830
Cyprus,Hybrid,20375
Cyprus,LPG,0
Cyprus,Other,612
Cyprus,Petrol,449778
Czechia,Diesel,2503571
Czechia,Electricity,14195
Czechia,Hybrid,17519
Czechia,LPG,114392
Czechia,Other,27402
Czechia,Petrol,3620358
Denmark,Diesel,762755
Denmark,Electricity,112674
Denmark,Hybrid,104947
Denmark,LPG,5
Denmark,Other,105220
Denmark,Petrol,1820423
Estonia,Diesel,352691
Estonia,Electricity,3461
Estonia,Hybrid,26912
Estonia,LPG,24
Estonia,Other,4278
Estonia,Petrol,461928
Finland,Diesel,923797
Finland,Electricity,46584
Finland,Hybrid,135556
Finland,LPG,2
Finland,Other,128766
Finland,Petrol,2439045
France,Diesel,20597872
France,Electricity,595797
France,Hybrid,1257629
France,LPG,162
France,Other,818723
France,Petrol,15586309
Georgia,Diesel,162329
Georgia,Electricity,3147
Georgia,Hybrid,113870
Georgia,Other,433137
Georgia,Petrol,620529
Germany,Diesel,14437489
Germany,Electricity,1013009
Germany,Hybrid,1473101
Germany,LPG,326853
Germany,Other,956046
Germany,Petrol,30556538
