Country,GDP
Albania,3810
Austria,38080
Belgium,37040
Bulgaria,7680
Croatia,14660
Cyprus,27490
Czechia,18460
Denmark,51660
Estonia,16250
Finland,37780
France,33180
Germany,36010
Hungary,14350
Iceland,38230
Ireland,77430
Italy,28220
Latvia,13280
Lithuania,15100
Luxembourg,86130
Malta,24650
Montenegro,6650
Netherlands,43800
North Macedonia,4100
Norway,72820
Poland,14620
Portugal,19310
Romania,10080
Slovenia,21860
Spain,24910
Sweden,46280
Switzerland,64000
Turkiye,13380
United Kingdom,32910
